index,query,user_id,expected_behavior,semantic_level,has_nav,text_match,habit_match,overall_correct,answer
1,I am thirsty,User_Mom,Drink,direct,True,True,False,True,I see you're thirsty! I can offer you a cup.
2,I want something to drink,User_Mom,Drink,direct,True,True,False,True,I see a cup on you in the Kitchen.
3,I need to sit down,User_Mom,Laying,direct,True,True,False,True,You can sit on the sofa in LivingRoom.
4,I want to sit,User_Mom,Laying,direct,False,False,False,False,"You can take a load off and relax, I'm here with you. Would you like some company while you're sitting?"
5,I want to find a place to read,User_Mom,Reading,indirect,True,False,False,False,"I found: computer set (on desk in BedRoom(dad)), cup (on User_Mom in Kitchen), apple (on table in Kitchen)."
6,I need some quiet time,User_Mom,Reading,abstract,False,False,False,False,"It's perfectly fine to take some time for yourself, I'll keep the space calm and peaceful while you unwind."
7,I need to work,User_Dad,Typing,direct,False,False,False,False,You're getting started on a productive day! I'm here to keep you company while you focus.
8,I want to use the computer,User_Dad,Typing,indirect,True,True,False,True,The computer is on your desk in BedRoom.
9,I am thirsty,User_Dad,Drink,direct,True,True,False,True,I see that you're thirsty. I can offer you a cola.
10,I want some water,User_Dad,Drink,direct,True,True,False,True,I'm afraid there is no water available in the house.
11,I am a bit tired,User_Mom,Laying,abstract,False,True,False,False,"You've had a long day, why don't you just rest your eyes and let me stay nearby?"
12,Can you find me a cup,User_Mom,Drink,abstract,True,True,False,True,I found a cup on you in Kitchen.
